clip_id,label,source,baseline_pred,baseline_confidence,vlm_pred,vlm_confidence,evidence,bucket
hmdb51_TheBoondockSaints_sit_f_cm_np1_ri_med_42,sitting,hmdb51,sitting,0.8824,standing,0.55,Person starts lying/slumped low on bunk and progressively rises to an upright seated/standing posture by the final frames.,baseline_correct_vlm_wrong
hmdb51_AmericanGangster_stand_f_nm_np1_le_med_33,standing,hmdb51,standing,0.703,walking,0.72,"The standing person on the right shifts position across frames, moving away from the table toward the background, torso upright throughout.",baseline_correct_vlm_wrong
hmdb51_TheBoondockSaints_stand_f_cm_np1_fr_med_112,standing,hmdb51,standing,0.676,walking,0.72,"Torso stays upright while the body shifts laterally across the frame with swinging arms and moving background foliage, indicating travel on foot.",baseline_correct_vlm_wrong
hmdb51_50_FIRST_DATES_walk_f_cm_np1_le_med_13,walking,hmdb51,walking,0.5199,standing,0.72,"Person starts bent over low, torso rises to fully upright by frames 5-8, then begins walking.",baseline_correct_vlm_wrong
hmdb51_Two_Towers_6_walk_u_cm_np1_fr_med_0,walking,hmdb51,walking,0.3961,standing,0.6,Man in armor remains upright and stationary as camera dollies in; no vertical descent or travel across scene.,baseline_correct_vlm_wrong
hmdb51_TheBoondockSaints_sit_u_cm_np1_fr_med_29,sitting,hmdb51,standing,0.5566,walking,0.7,"The standing man moves rightward across the frame toward the seated man, torso upright throughout with no vertical transition.",both_wrong
hmdb51_BLACK_HAWK_DOWN_stand_u_nm_np1_le_med_11,standing,hmdb51,walking,0.3052,falling,0.5,"Figure initially upright/passing in foreground gives way to a soldier ending prone on the ground, an abrupt drop rather than a controlled seat.",both_wrong
hmdb51_TheBoondockSaints_stand_u_nm_np1_fr_med_111,standing,hmdb51,walking,0.5997,walking,0.72,"Man moves forward toward the camera from the house, upright throughout, growing larger in frame with no vertical descent or rise.",both_wrong
hmdb51_AmericanGangster_walk_f_nm_np1_fr_med_32,walking,hmdb51,standing,0.8202,standing,0.4,"Central figure remains upright in place across frames while others move; a person near the sofa appears to rise, no clear travel or descent.",both_wrong
hmdb51_Shadow_of_a_Doubt_walk_u_cm_np1_fr_med_7,walking,hmdb51,sitting,0.5597,standing,0.5,"Subjects remain upright with torso stationary, no descent or travel across frames; camera shifts scene rather than person moving.",both_wrong
hmdb51_20060723sfjfffightcoldplay_fall_floor_f_cm_np1_fr_med_0,falling,hmdb51,standing,0.7035,falling,0.94,"Man walking upright in first frames abruptly drops, ending sprawled face-down on the pavement with arms bracing.",vlm_correct_baseline_wrong
hmdb51_Finding_Forrester_3_fall_floor_f_cm_np2_ri_med_1,falling,hmdb51,walking,0.361,falling,0.93,"Players upright driving with the ball collide and abruptly sprawl onto the court floor, ball bouncing free, ending lying flat.",vlm_correct_baseline_wrong
hmdb51_LONGESTYARD_fall_floor_h_nm_np1_fr_med_5,falling,hmdb51,sitting,0.2863,falling,0.72,"Large object/person topples uncontrolled, tipping over and crashing down in dust toward the ground across the sequence.confidence moderate.} ends sprawled on ground.} ]",vlm_correct_baseline_wrong
hmdb51_AMADEUS_sit_u_nm_np1_fr_med_4,sitting,hmdb51,standing,0.4489,sitting,0.85,"The woman starts upright in early frames and progressively lowers, ending seated on the sofa in the final frames.districts",vlm_correct_baseline_wrong
hmdb51_AgentCodyBanks_sit_u_cm_np1_fr_goo_4,sitting,hmdb51,walking,0.4317,sitting,0.72,"The man starts upright high in frame and progressively descends behind a desk, ending seated with head lower relative to the map screen.",vlm_correct_baseline_wrong
hmdb51_AmericanGangster_sit_f_cm_np1_fr_med_70,sitting,hmdb51,standing,0.6279,sitting,0.85,"Person starts upright/bent over table and progressively lowers, ending seated on the bench in the final frames.",vlm_correct_baseline_wrong
hmdb51_AmericanGangster_sit_u_cm_np1_le_med_61,sitting,hmdb51,standing,0.4863,sitting,0.85,"The man starts upright, bends forward progressively, and ends seated low on a surface, a controlled downward transition.",vlm_correct_baseline_wrong
hmdb51_BRIDGETOTERABITHIA_sit_f_nm_np1_fr_med_0,sitting,hmdb51,falling,0.4764,sitting,0.94,"Person approaches the porch chair upright in early frames, then lowers hips onto it and remains seated in later frames.",vlm_correct_baseline_wrong
hmdb51_Eurotrip_sit_u_nm_np1_fr_goo_2,sitting,hmdb51,standing,0.6315,sitting,0.93,"Man in white suit stands in foreground then lowers himself onto the train bench, ending seated between passengers.",vlm_correct_baseline_wrong
hmdb51_HP_PRISONER_OF_AZKABAN_sit_f_cm_np1_fr_med_3,sitting,hmdb51,falling,0.6207,sitting,0.72,"Person is hunched over the bench in early frames and settles into a seated, upright posture on the bench by the final frames.",vlm_correct_baseline_wrong
hmdb51_HP_PRISONER_OF_AZKABAN_sit_f_cm_np1_le_med_1,sitting,hmdb51,falling,0.5624,sitting,0.85,"Person starts upright by the bed and progressively lowers, ending seated on the bed edge in the final frames.",vlm_correct_baseline_wrong
hmdb51_IamLegendII_sit_f_cm_np1_fr_med_7,sitting,hmdb51,falling,0.4603,sitting,0.72,"Man carrying a person starts upright then lowers steadily, ending seated on the floor in a controlled descent.",vlm_correct_baseline_wrong
hmdb51_IamLegend_sit_f_nm_np1_le_med_1,sitting,hmdb51,standing,0.7631,sitting,0.9,"Man bends over chair in frames 3-5 and is seated on it by frames 6-8, a controlled downward transition.",vlm_correct_baseline_wrong
